start,method,iters,f_final,grad_final,avg_step,std_step
A,Simple,319,5.00000000037815,9.598980625354082e-05,0.0051185344827586205,0.001807167007677632
A,Goldstein,317,5.000000000418334,8.73527956708781e-05,0.005126182965299685,0.001830117257932285
B,Simple,380,5.0000000003390905,9.923388010088332e-05,0.005129523026315789,0.0018116327889873992
B,Goldstein,375,5.000000000465945,9.571240484877941e-05,0.005135416666666667,0.0018307421318886562
C,Simple,313,5.000000000307798,9.7339786837466e-05,0.005129293130990416,0.0018115401541695044
C,Goldstein,308,5.000000000422384,9.268148246485968e-05,0.005136465097402597,0.0018347781399250715
