x0j,y0j,Gamma_j
0.2500000000,0.5000000000,-0.1784854414
0.2301217425,0.4996046986,-0.0943450860
0.2102749165,0.4984194195,-0.0743562633
0.1904909041,0.4964460369,-0.0647618523
0.1708009878,0.4936876710,-0.0589334809
0.1512363014,0.4901486834,-0.0549108581
0.1318277807,0.4858346700,-0.0518893317
0.1126061146,0.4807524522,-0.0494728760
0.0936016965,0.4749100659,-0.0474424438
0.0748445762,0.4683167491,-0.0456665888
0.0563644127,0.4609829274,-0.0440615659
0.0381904268,0.4529201968,-0.0425715448
0.0203513554,0.4441413064,-0.0411579800
0.0028754057,0.4346601372,-0.0397935292
-0.0142097892,0.4244916810,-0.0384583921
-0.0308772142,0.4136520163,-0.0371380104
-0.0471005145,0.4021582826,-0.0358215720
-0.0628540378,0.3900286541,-0.0345010059
-0.0781128746,0.3772823101,-0.0331702911
-0.0928528975,0.3639394052,-0.0318249680
-0.1070507995,0.3500210373,-0.0304617875
-0.1206841308,0.3355492142,-0.0290784527
-0.1337313343,0.3205468188,-0.0276734270
-0.1461717797,0.3050375730,-0.0262457878
-0.1579857961,0.2890460001,-0.0247951145
-0.1691547031,0.2725973861,-0.0233214005
-0.1796608403,0.2557177396,-0.0218249845
-0.1894875954,0.2384337507,-0.0203064943
-0.1986194303,0.2207727491,-0.0187668020
-0.2070419057,0.2027626604,-0.0172069870
-0.2147417038,0.1844319623,-0.0156283049
-0.2217066499,0.1658096393,-0.0140321614
-0.2279257307,0.1469251372,-0.0124200901
-0.2333891127,0.1278083162,-0.0107937329
-0.2380881572,0.1084894041,-0.0091548232
-0.2420154340,0.0889989478,-0.0075051703
-0.2451647332,0.0693677660,-0.0058466460
-0.2475310753,0.0496268995,-0.0041811717
-0.2491107184,0.0298075626,-0.0025107067
-0.2499011649,0.0099410938,-0.0008372367
-0.2499011649,-0.0099410938,0.0008372367
-0.2491107184,-0.0298075626,0.0025107067
-0.2475310753,-0.0496268995,0.0041811717
-0.2451647332,-0.0693677660,0.0058466460
-0.2420154340,-0.0889989478,0.0075051703
-0.2380881572,-0.1084894041,0.0091548232
-0.2333891127,-0.1278083162,0.0107937329
-0.2279257307,-0.1469251372,0.0124200901
-0.2217066499,-0.1658096393,0.0140321614
-0.2147417038,-0.1844319623,0.0156283049
-0.2070419057,-0.2027626604,0.0172069870
-0.1986194303,-0.2207727491,0.0187668020
-0.1894875954,-0.2384337507,0.0203064943
-0.1796608403,-0.2557177396,0.0218249845
-0.1691547031,-0.2725973861,0.0233214005
-0.1579857961,-0.2890460001,0.0247951145
-0.1461717797,-0.3050375730,0.0262457878
-0.1337313343,-0.3205468188,0.0276734270
-0.1206841308,-0.3355492142,0.0290784527
-0.1070507995,-0.3500210373,0.0304617875
-0.0928528975,-0.3639394052,0.0318249680
-0.0781128746,-0.3772823101,0.0331702911
-0.0628540378,-0.3900286541,0.0345010059
-0.0471005145,-0.4021582826,0.0358215720
-0.0308772142,-0.4136520163,0.0371380104
-0.0142097892,-0.4244916810,0.0384583921
0.0028754057,-0.4346601372,0.0397935292
0.0203513554,-0.4441413064,0.0411579800
0.0381904268,-0.4529201968,0.0425715448
0.0563644127,-0.4609829274,0.0440615659
0.0748445762,-0.4683167491,0.0456665888
0.0936016965,-0.4749100659,0.0474424438
0.1126061146,-0.4807524522,0.0494728760
0.1318277807,-0.4858346700,0.0518893317
0.1512363014,-0.4901486834,0.0549108581
0.1708009878,-0.4936876710,0.0589334809
0.1904909041,-0.4964460369,0.0647618523
0.2102749165,-0.4984194195,0.0743562633
0.2301217425,-0.4996046986,0.0943450860
0.2500000000,-0.5000000000,0.1784854414
